trades,final_equity,total_return,cagr,max_drawdown,sharpe,sortino,calmar,win_rate,profit_factor,avg_r,expectancy_r,best_r,worst_r,total_fees,total_funding,avg_bars_held,liquidations,exposure,tf,entry_window,atr_stop_mult,trail_mult,regime_ema,vol_target,_risk,_lev
157,165421.72192045365,15.542172192045363,0.36956972585764913,-0.21409413209123707,1.4113791481507427,1.0338473791034306,1.7262020320115805,0.33121019108280253,2.1525645939363036,1.0908347907321327,1.0908347907321327,31.658309513507632,-1.2964813488649078,10625.376912236887,23004.252699998404,37.49044585987261,0,0.3012436665131276,4h,30,2.0,5.0,200,0.0,0.02,3.0
157,487562.03628242726,47.75620362824272,0.5459674294614818,-0.3213267132620909,1.4181009475038933,1.0309049462953817,1.6991037686187085,0.33121019108280253,1.8712736847847755,1.0908347907321327,1.0908347907321327,31.65830951350763,-1.2964813488649078,46147.59114192485,80317.54484086599,37.49044585987261,0,0.3012436665131276,4h,30,2.0,5.0,200,0.6,0.02,3.0
180,514701.64028804697,50.470164028804696,0.5553823985906576,-0.3330127527658846,1.406444071464724,1.091017200664754,1.6677511415939794,0.28888888888888886,1.6727598548245541,0.9438940072161847,0.9438940072161847,31.65830951350763,-1.2964813488649078,59167.27261316358,97776.32250500895,36.74444444444445,0,0.3385024822150571,4h,20,2.0,5.0,200,0.6,0.02,3.0
180,160387.02557972443,15.038702557972442,0.3648333191162476,-0.2206123741607765,1.3816217035251777,1.0793537339319144,1.653730079756844,0.28888888888888886,1.8879844163928805,0.9438940072161844,0.9438940072161844,31.65830951350762,-1.2964813488649076,12544.851044480114,25152.98760120664,36.74444444444445,0,0.3385024822150571,4h,20,2.0,5.0,200,0.0,0.02,3.0
215,493706.77234702493,48.37067723470249,0.5481391197614995,-0.35285289485153737,1.3624124495699124,1.1410913938057399,1.553449405572055,0.2744186046511628,1.5848234182234813,0.7582143884016054,0.7582143884016054,30.035265497183698,-1.2964813488649078,61217.14286349972,95438.33331766882,35.269767441860466,0,0.38809560366446594,4h,20,2.0,5.0,100,0.6,0.02,3.0
209,126087.67146537872,11.608767146537872,0.3285174643266995,-0.22613812239986036,1.2637736292789274,0.9843995771052392,1.4527292472421374,0.39712918660287083,1.7015748872339043,0.4510010540590213,0.4510010540590213,14.475580527053571,-1.1981775060058109,12892.350299432157,14889.814019353766,26.47846889952153,0,0.2832284149649419,4h,20,2.5,3.5,200,0.6,0.02,3.0
166,93827.51891956138,8.382751891956138,0.2852339827337462,-0.197954745544236,1.3252870150008824,1.0596018531797717,1.4409050005320856,0.3313253012048193,1.9241330476648322,0.8008287408556175,0.8008287408556175,25.471253198355345,-1.1981775060058113,5699.990105001605,13643.539865568553,42.626506024096386,0,0.36214749987205075,4h,20,2.5,5.0,200,0.0,0.02,3.0
196,219637.21789134247,20.963721789134247,0.41378422317078467,-0.2910926161603913,1.264156766852973,1.0765750910242655,1.421486496733365,0.32653061224489793,1.6590835339732222,0.6403901868127254,0.6403901868127254,24.105273082052058,-1.1981775060058113,20587.817501125977,37566.40700456507,41.535714285714285,0,0.4166538717436921,4h,20,2.5,5.0,100,0.6,0.02,3.0
209,54736.95023108221,4.473695023108221,0.20989892778714236,-0.1483288874716728,1.2380261770213323,0.9700872147854671,1.4150913646354149,0.39712918660287083,1.7509303703818757,0.45100105405902124,0.45100105405902124,14.47558052705357,-1.198177506005811,4242.667522791093,6168.075454567858,26.47846889952153,0,0.2832284149649419,4h,20,2.5,3.5,200,0.0,0.02,3.0
149,89675.79947392167,7.967579947392167,0.27873102189702803,-0.20131758820032963,1.191435311733672,0.8428357086536067,1.3845338819560309,0.30201342281879195,1.969125891331227,0.9057302298918436,0.9057302298918436,31.658309513507625,-1.2131862899729149,5752.473270715394,12982.504975602975,36.50335570469799,0,0.2783663442346077,4h,55,2.0,5.0,0,0.0,0.02,3.0
